prefix,gloss,taccs,vaccs,bepoch,bacc,bN,bvacc,time
as=cifar10=vit=distill=single,1.5763872861862183,"[0.17886, 0.19984, 0.24104, 0.31592, 0.3726, 0.39686, 0.42838, 0.44712, 0.44998, 0.45032, 0.44982, 0.4543]","[0.2641, 0.3046, 0.3563, 0.4195, 0.4913, 0.5412, 0.5821, 0.6102, 0.6115, 0.6218, 0.6216, 0.6243]",0,0.6243,7,0.6102,505.2457900047302
as=cifar10=vit=distill=single,1.3023782968521118,"[0.23452, 0.26218, 0.32884, 0.41908, 0.4774, 0.5141, 0.55228, 0.5654, 0.57074, 0.57056, 0.57098, 0.571]","[0.2988, 0.3428, 0.3937, 0.49, 0.58, 0.6337, 0.6683, 0.6806, 0.6869, 0.688, 0.6908, 0.6894]",1,0.6908,7,0.6806,1016.5767002105713
as=cifar10=vit=distill=single,1.0241332054138184,"[0.25452, 0.28502, 0.36614, 0.44632, 0.5113, 0.55286, 0.59226, 0.60274, 0.60734, 0.60664, 0.60842, 0.60854]","[0.2913, 0.3125, 0.4376, 0.49, 0.5873, 0.635, 0.6826, 0.6947, 0.7, 0.7003, 0.7006, 0.6974]",2,0.7006,6,0.6826,1531.5592677593231
as=cifar10=vit=distill=single,1.0932040214538574,"[0.2653, 0.30316, 0.38992, 0.47018, 0.53476, 0.58034, 0.61408, 0.62686, 0.62992, 0.63184, 0.63314, 0.63266]","[0.3299, 0.3382, 0.4652, 0.5458, 0.6424, 0.6944, 0.7232, 0.7381, 0.7444, 0.7498, 0.7469, 0.7473]",3,0.7498,7,0.7381,2046.2897634506226
as=cifar10=vit=distill=single,0.8881741762161255,"[0.27524, 0.3177, 0.40642, 0.48326, 0.54612, 0.6052, 0.62998, 0.64216, 0.64886, 0.64958, 0.65056, 0.65146]","[0.3071, 0.3607, 0.4132, 0.5529, 0.6497, 0.7007, 0.7312, 0.7409, 0.7461, 0.7495, 0.7469, 0.7476]",3,0.7498,7,0.7381,2562.498638153076
as=cifar10=vit=distill=single,1.0060778856277466,"[0.27738, 0.33048, 0.41618, 0.49532, 0.55902, 0.61498, 0.64796, 0.65984, 0.66538, 0.6675, 0.66842, 0.66912]","[0.3391, 0.4025, 0.4735, 0.5877, 0.6525, 0.7252, 0.7514, 0.7599, 0.763, 0.7654, 0.7633, 0.7617]",5,0.7654,6,0.7514,3080.88347530365
as=cifar10=vit=distill=single,0.8521769046783447,"[0.29836, 0.34234, 0.42238, 0.5011, 0.5693, 0.62798, 0.66024, 0.67228, 0.67884, 0.68234, 0.6833, 0.6823]","[0.334, 0.3868, 0.4681, 0.572, 0.648, 0.7087, 0.7374, 0.7525, 0.7573, 0.7628, 0.7613, 0.762]",5,0.7654,6,0.7514,3592.324880361557
as=cifar10=vit=distill=single,0.8183233737945557,"[0.30066, 0.35226, 0.4319, 0.51146, 0.57632, 0.64286, 0.67026, 0.6831, 0.68964, 0.69026, 0.6922, 0.69192]","[0.3258, 0.4001, 0.4817, 0.5749, 0.6569, 0.7293, 0.7507, 0.7658, 0.7687, 0.7724, 0.7726, 0.7712]",7,0.7726,7,0.7658,4107.686046123505
as=cifar10=vit=distill=single,0.8644202947616577,"[0.30516, 0.3554, 0.44066, 0.51856, 0.58522, 0.65474, 0.67952, 0.69382, 0.70062, 0.7037, 0.7038, 0.70322]","[0.344, 0.4129, 0.4965, 0.5731, 0.6578, 0.7468, 0.7619, 0.782, 0.7862, 0.7908, 0.7913, 0.7876]",8,0.7913,7,0.782,4621.174726009369
as=cifar10=vit=distill=single,0.7736824750900269,"[0.3077, 0.3589, 0.44364, 0.5253, 0.59184, 0.6607, 0.68706, 0.70142, 0.70884, 0.71256, 0.71274, 0.71138]","[0.3641, 0.4275, 0.4949, 0.5761, 0.6675, 0.7379, 0.7627, 0.783, 0.7881, 0.7924, 0.7905, 0.7906]",9,0.7924,7,0.783,5134.8311603069305
as=cifar10=vit=distill=single,0.8574565052986145,"[0.31092, 0.36058, 0.44514, 0.5252, 0.59284, 0.6655, 0.69536, 0.70696, 0.7146, 0.718, 0.71908, 0.71988]","[0.3779, 0.4319, 0.5428, 0.6214, 0.7016, 0.7734, 0.7989, 0.8099, 0.8152, 0.8203, 0.8195, 0.8185]",10,0.8203,7,0.8099,5646.597241640091
as=cifar10=vit=distill=single,0.8978832960128784,"[0.3162, 0.36698, 0.45108, 0.53232, 0.59604, 0.66752, 0.7027, 0.71598, 0.72274, 0.72728, 0.7279, 0.72736]","[0.3661, 0.451, 0.5018, 0.5934, 0.6847, 0.7602, 0.7935, 0.8055, 0.8078, 0.8114, 0.8089, 0.8097]",10,0.8203,7,0.8099,6160.318507194519
as=cifar10=vit=distill=single,0.8020787239074707,"[0.3198, 0.36852, 0.4538, 0.53462, 0.60382, 0.67558, 0.70942, 0.7236, 0.7315, 0.73562, 0.73628, 0.7361]","[0.3604, 0.4379, 0.525, 0.6077, 0.6865, 0.7651, 0.797, 0.8083, 0.8174, 0.8203, 0.8218, 0.8225]",12,0.8225,7,0.8083,6669.621676445007
as=cifar10=vit=distill=single,0.7446311116218567,"[0.32226, 0.37612, 0.4545, 0.53946, 0.60702, 0.67824, 0.71754, 0.73042, 0.73838, 0.74194, 0.74304, 0.74238]","[0.375, 0.4222, 0.5019, 0.6078, 0.6872, 0.7685, 0.8018, 0.8122, 0.8108, 0.8157, 0.8188, 0.8174]",12,0.8225,7,0.8083,7184.645017385483
as=cifar10=vit=distill=single,0.9304586052894592,"[0.3233, 0.37358, 0.45814, 0.5425, 0.61074, 0.68558, 0.72358, 0.73614, 0.74532, 0.7493, 0.74948, 0.74884]","[0.3739, 0.4292, 0.5248, 0.6178, 0.7019, 0.7745, 0.8116, 0.8188, 0.8244, 0.8281, 0.8308, 0.8289]",14,0.8308,6,0.8116,7694.02007651329
as=cifar10=vit=distill=single,0.7856358289718628,"[0.32844, 0.37784, 0.45884, 0.54568, 0.61504, 0.69132, 0.73002, 0.74448, 0.75258, 0.7568, 0.7575, 0.75702]","[0.3841, 0.4495, 0.5287, 0.623, 0.6996, 0.7912, 0.8211, 0.8286, 0.8342, 0.84, 0.838, 0.8385]",15,0.84,6,0.8211,8207.273001432419
