prefix,gloss,taccs,vaccs,bepoch,bacc,bN,bvacc,time
as=cifar10=vit=prune=single,1.5763872861862183,"[0.17886, 0.19984, 0.24104, 0.31592, 0.3726, 0.39686, 0.42838, 0.44712, 0.44998, 0.45032, 0.44982, 0.4543]","[0.2641, 0.3046, 0.3563, 0.4195, 0.4913, 0.5412, 0.5821, 0.6102, 0.6115, 0.6218, 0.6216, 0.6243]",0,0.6243,7,0.6102,507.7465889453888
as=cifar10=vit=prune=single,1.6403999328613281,"[0.23568, 0.26092, 0.33018, 0.41806, 0.47514, 0.51074, 0.54436, 0.56374, 0.56736, 0.5674, 0.56824, 0.56822]","[0.302, 0.313, 0.3796, 0.4824, 0.5765, 0.6205, 0.6549, 0.6797, 0.6869, 0.6881, 0.6932, 0.6904]",1,0.6932,7,0.6797,1015.5773377418518
as=cifar10=vit=prune=single,1.306689739227295,"[0.25682, 0.28664, 0.36926, 0.4508, 0.51274, 0.55058, 0.58204, 0.60374, 0.60828, 0.60858, 0.60994, 0.6103]","[0.2986, 0.3111, 0.4249, 0.4838, 0.5891, 0.6314, 0.6779, 0.6985, 0.7043, 0.7061, 0.7028, 0.7006]",2,0.7061,7,0.6985,1526.2315752506256
as=cifar10=vit=prune=single,1.3365478515625,"[0.2672, 0.30496, 0.39388, 0.47114, 0.53184, 0.57142, 0.6026, 0.626, 0.63228, 0.63246, 0.63534, 0.6347]","[0.3235, 0.3334, 0.4613, 0.5575, 0.6332, 0.6832, 0.7085, 0.7291, 0.7368, 0.7409, 0.7416, 0.7373]",3,0.7416,7,0.7291,2034.8259754180908
as=cifar10=vit=prune=single,1.086510419845581,"[0.27868, 0.32066, 0.40834, 0.48126, 0.54488, 0.59062, 0.62182, 0.64506, 0.6506, 0.6529, 0.6548, 0.6537]","[0.3057, 0.3741, 0.4316, 0.5548, 0.6445, 0.6751, 0.7122, 0.7359, 0.7424, 0.745, 0.7473, 0.7465]",4,0.7473,7,0.7359,2545.7935841083527
as=cifar10=vit=prune=single,1.2564712762832642,"[0.2829, 0.33274, 0.42042, 0.49788, 0.55732, 0.6038, 0.63746, 0.66268, 0.67076, 0.6712, 0.67184, 0.67308]","[0.2982, 0.3953, 0.4786, 0.5751, 0.6481, 0.7093, 0.74, 0.763, 0.7675, 0.7669, 0.7674, 0.7674]",5,0.7675,7,0.763,3059.824293613434
as=cifar10=vit=prune=single,1.0332491397857666,"[0.29712, 0.34356, 0.4269, 0.50358, 0.56648, 0.61522, 0.64466, 0.67418, 0.68048, 0.68346, 0.68414, 0.68398]","[0.3558, 0.393, 0.4562, 0.559, 0.6377, 0.6942, 0.724, 0.7434, 0.7509, 0.7586, 0.76, 0.7597]",5,0.7675,7,0.763,3567.354984998703
as=cifar10=vit=prune=single,1.0320202112197876,"[0.3014, 0.35218, 0.43616, 0.51362, 0.57306, 0.62154, 0.656, 0.68276, 0.69078, 0.69412, 0.69422, 0.69414]","[0.3186, 0.3977, 0.4972, 0.5747, 0.6546, 0.7036, 0.7328, 0.7641, 0.7743, 0.7794, 0.7798, 0.7788]",7,0.7798,7,0.7641,4076.834943294525
as=cifar10=vit=prune=single,1.0806750059127808,"[0.30644, 0.35634, 0.44408, 0.51962, 0.58098, 0.63224, 0.66756, 0.69398, 0.70464, 0.70792, 0.70924, 0.70862]","[0.3568, 0.4118, 0.5028, 0.5729, 0.6582, 0.7172, 0.7462, 0.7725, 0.78, 0.7852, 0.7844, 0.7824]",8,0.7852,7,0.7725,4585.2978439331055
as=cifar10=vit=prune=single,0.8911778926849365,"[0.31056, 0.35822, 0.44736, 0.52606, 0.58922, 0.63732, 0.67378, 0.70158, 0.70938, 0.71434, 0.7149, 0.714]","[0.3706, 0.4366, 0.5069, 0.5752, 0.6675, 0.7269, 0.7548, 0.7829, 0.7884, 0.793, 0.7951, 0.7946]",9,0.7951,7,0.7829,5093.976386785507
